Group_Hypothesis,Sub_Hypothesis,Description,Expression
Earnings Surprise,Surprise Decay,The impact of earnings surprises decays exponentially over time.,"Signal = (EPS_reported - EPS_expected) * exp(-t/τ), where τ is a decay constant"
Earnings Surprise,Analyst Revision,The magnitude of post-earnings surprise analyst revisions predicts subsequent price movements.,Signal = SUM(Analyst_Revisions[t+1:t+5])
Undervalued Assets: Sentiment,Short Interest Squeeze,Stocks with high short interest will experience a price surge when short-sellers begin covering their positions.,Signal = ShortInterestRatio
Earnings Surprise Impact,Implied Volatility Impact,"Positive earnings surprises decrease implied volatility, predicting lower future price swings.",signal = (ActualEPS - ExpectedEPS) / ExpectedEPS; iv_change = (IV(t) - IV(t+5)) / IV(t)
Volume Spike Alpha Hypotheses,VolumeSpike_PriceMomentum,Stocks experiencing a significant volume spike followed by above-average price increases over the next three days will outperform the market.,IF (Volume[t] > 2 * AvgVolume[t-30]) AND (Price[t+3] / Price[t] > 1.02) THEN Signal = 1 ELSE Signal = 0
Volume Spike Alpha Hypotheses,VolumeSpike_ShortTermReversal,A large volume spike followed by a sharp price decrease suggests a short-term reversal opportunity.,IF (Volume[t] > 3 * AvgVolume[t-30]) AND (Price[t+1] < Price[t] - 0.01 * Price[t]) THEN Signal = -1 ELSE Signal = 0
Volume Spike Alpha Hypotheses,VolumeSpike_BreakoutConfirmation,Volume spikes confirming a breakout above a key resistance level indicate a strong bullish signal.,IF (Volume[t] > 1.5 * AvgVolume[t-60]) AND (Price[t] > ResistanceLevel) THEN Signal = 1 ELSE Signal = 0
Volume Spike Alpha Hypotheses,VolumeSpike_NegativeCorrelation,Stocks with high volume spikes showing a negative correlation with market movement in the following period underperform.,"IF (Volume[t] > 2 * AvgVolume[t-30]) AND (Correlation(Price[t:t+5], MarketPrice[t:t+5]) < -0.5) THEN Signal = -1 ELSE Signal = 0"
Volume Spike Alpha Hypotheses,VolumeSpike_PEratio,High volume spikes on stocks with low P/E ratios are indicative of undervalued assets likely to appreciate.,IF (Volume[t] > 3 * AvgVolume[t-30]) AND (PEratio[t] < 15) THEN Signal = 1 ELSE Signal = 0
Volume Spike Alpha Hypotheses,VolumeSpike_SentimentShift,Significant volume increases coupled with a sudden positive shift in market sentiment predict future price increases.,IF (Volume[t] > 2.5 * AvgVolume[t-60]) AND (SentimentScore[t] > SentimentScore[t-10] + 0.1) THEN Signal = 1 ELSE Signal = 0
Volume Spike Alpha Hypotheses,VolumeSpike_GapUp,Volume spikes following a gap-up opening suggest sustained upward momentum.,IF (Volume[t] > 2 * AvgVolume[t-30]) AND (Price[t] > Price[t-1] * 1.02) THEN Signal = 1 ELSE Signal = 0
Volume Spike Alpha Hypotheses,VolumeSpike_MeanReversion,High volume spikes followed by price reversion towards the 50-day moving average suggest mean reversion opportunities.,IF (Volume[t] > 3 * AvgVolume[t-30]) AND (abs(Price[t+5] - MA50[t+5]) < abs(Price[t] - MA50[t])) THEN Signal = 1 ELSE Signal = 0
Volume Spike Alpha Hypotheses,VolumeSpike_BollingerBands,Volume spikes that coincide with price exceeding the upper Bollinger Band indicate potential overbought conditions.,IF (Volume[t] > 2 * AvgVolume[t-30]) AND (Price[t] > UpperBollingerBand[t]) THEN Signal = -1 ELSE Signal = 0
Volume Spike Alpha Hypotheses,VolumeSpike_LowFloat,High volume spikes in low-float stocks signal potential for amplified price swings.,IF (Volume[t] > 5 * AvgVolume[t-30]) AND (Float < 10000000) THEN Signal = 1 ELSE Signal = 0
Sentiment-Driven Momentum,Negative Sentiment Divergence,"When price increases despite negative sentiment, a price reversal is likely.",signal = -1 * (price_change * sentiment)
News Event Impact,Unexpected News Impact,The magnitude of price change after unexpected news is proportional to the news' surprise level.,signal = price_change * news_surprise_score
Sentiment-Volume Interaction,"Negative Sentiment, High Volume",High trading volume coupled with negative sentiment predicts further price decline.,signal = -1 * (volume * sentiment)
Fundamental-Sentiment Interaction,P/E Ratio and Sentiment Discrepancy,A high P/E ratio with negative sentiment suggests an overvalued asset.,signal = -1 * (P/E_ratio * sentiment)
Fundamental-Sentiment Interaction,"Low P/E, Positive Sentiment",Assets with low P/E ratios and positive sentiment are likely to outperform.,signal = (1/P/E_ratio) * sentiment
Chart Patterns,Head and Shoulders Reversal,A head and shoulders pattern followed by a neckline breakout predicts a price decline.,IF (Head and Shoulders pattern detected) AND (Neckline breakout confirmed) THEN Sell Signal
Chart Patterns,Double Bottom Reversal,A double bottom pattern followed by a breakout above the neckline predicts a price increase.,IF (Double Bottom pattern detected) AND (Neckline breakout confirmed) THEN Buy Signal
Price and Volume Patterns,Relative Strength Index (RSI) Divergence,A bearish divergence between price and RSI indicates a potential price reversal.,IF (Price[t] > Price[t-1] AND RSI[t] < RSI[t-1]) THEN signal = -1 ELSE signal = 0
Momentum,On-Balance Volume (OBV) Momentum,A rising OBV suggests positive momentum driven by increased buying volume.,Signal = OBV[t]
Volume Spike,Price-Volume Confirmation,A significant volume increase confirms a price trend change.,"Trend = sign(Price[t] - Price[t-N]); IF (Volume[t] > 2 * Avg(Volume[t-20, t-1]) AND Trend == sign(Price[t-1] - Price[t-N-1]) ) THEN Signal = Trend ELSE Signal = 0; Buy if Signal = 1; Sell if Signal = -1"
High-Quality Earnings,Persistent EPS Growth,Companies with consistently increasing earnings per share (EPS) over the past five years will outperform.,"Average(EPS_t-4, EPS_t-3, EPS_t-2, EPS_t-1, EPS_t) > Average(EPS_t-9, EPS_t-8, EPS_t-7, EPS_t-6, EPS_t-5)"
High-Quality Earnings,Stable EPS Growth,Companies with less volatile year-over-year EPS growth outperform those with highly volatile growth.,"std(YoY_EPS_growth_t-4, YoY_EPS_growth_t-3, YoY_EPS_growth_t-2, YoY_EPS_growth_t-1, YoY_EPS_growth_t) < 0.1"
High-Quality Management,Long Tenure CEO,Companies with CEOs who have been in their position for a long time will outperform.,CEOTenure > threshold
Strong Balance Sheet,High Free Cash Flow,Companies with high free cash flow relative to market cap will outperform.,FreeCashFlow / MarketCap > 0.1
Growth Stock Outperformance,Positive Free Cash Flow Growth,Companies exhibiting consistent positive free cash flow growth will outperform those with declining or negative free cash flow.,"Signal = Average(Free Cash Flow Growth Year 1, Free Cash Flow Growth Year 2)"
News/Earnings Impact,Post-Earnings Surprise,Stocks that exceed earnings expectations by a large margin will outperform the market in the following week.,Signal = (Actual EPS - Expected EPS) / Expected EPS;  if Signal > 0.1 then BUY else if Signal < -0.1 then SELL else HOLD
News Event Impact,News Sentiment Decay,The impact of positive news on price diminishes exponentially over time.,signal = sentiment_score * exp(-time_since_news/decay_constant) ; if (signal > threshold) then long else do nothing
Exploiting Price Reactions,Pre-Earnings Volatility,Higher pre-earnings announcement volatility predicts lower post-earnings announcement returns.,Signal = -StdDev(Price[-20:-1])
News/Earnings Impact,News Correlation to Sector,Stocks with higher correlation to positive news in their sector outperform those with lower correlation.,"Signal = Correlation(Stock_Return, Sector_News_Sentiment, window=7 days)"
Earnings Surprises,Analyst Revision Momentum,A large upward revision in analyst earnings estimates after a positive surprise predicts continued price appreciation.,Signal = (Sum(AnalystRevisions[t+1:t+5]) * EPS_Surprise) / Expected_EPS
News/Earnings Impact,Short Squeeze After Negative News,"If short interest is high before an earnings announcement and the price dips after bad news, a short squeeze will create a positive price movement.",Signal = (Short_Interest_Pre_Announcement) * (Price_Change_After_Negative_News) 
Earnings Surprises,P/E Ratio Expansion,Companies that exceed earnings expectations will see their P/E ratio expand more significantly than those that miss.,Signal = (P/E Ratio(Day 3) - P/E Ratio(Day before Announcement)) / P/E Ratio(Day before Announcement) * (Actual EPS - Expected EPS) / Expected EPS
News/Earnings Impact,3-Day News Sentiment,The aggregated sentiment of news articles over three days after earnings predicts subsequent price movement.,"Signal = Average(News_Sentiment, window=3 days) after earnings"
News/Earnings Impact,Unexpected Guidance,Stocks that provide unexpectedly positive guidance outperform those with negative surprises.,Signal =  (Actual Guidance - Expected Guidance) / Expected Guidance; Buy if Signal > 0.05
Arbitrage: Exploiting pricing discrepancies between related assets,Cross-Listed Stock Price Discrepancy,The price difference between a cross-listed stock on different exchanges will revert to a narrow band within 5 days.,"Signal = abs(Price_ExchangeA - Price_ExchangeB) - Average(abs(Price_ExchangeA - Price_ExchangeB), window=30)"
Arbitrage: Exploiting pricing discrepancies between related assets,Currency-Forward Discrepancy,The difference between the spot exchange rate and the forward exchange rate will adjust to reflect interest rate differentials.,Signal = (Spot_Rate - Forward_Rate) - (Interest_Rate_Diff * TimeToMaturity)
Arbitrage: Exploiting pricing discrepancies between related assets,Option-Stock Parity Deviation,"Put-call parity will hold, and deviations present arbitrage opportunities.",signal = Call_price - Put_price - Stock_price + PV(Strike_price); if abs(signal) > threshold then execute arbitrage trade
Arbitrage: Exploiting pricing discrepancies between related assets,Stock-Index Futures Basis,The basis between a stock and the index futures contract on which it is included should converge within a specific band.,"Signal = (Stock_Price - (Index_Futures_Price * Stock_Weighting)) - Average(Stock_Price - (Index_Futures_Price * Stock_Weighting), window=60)"
Arbitrage: Exploiting pricing discrepancies between related assets,Convertible Bond Arbitrage,The price of a convertible bond will converge to the value of the underlying stock plus the bond's straight value.,Signal = (ConvertibleBondPrice - (StockPrice * ConversionRatio + StraightValue)) / ConvertibleBondPrice
Arbitrage: Exploiting pricing discrepancies between related assets,Statistical Arbitrage on Cointegrated Pairs,The spread between two cointegrated assets will revert to its long-run equilibrium within a defined confidence interval.,Signal =  Spread - (Regression_Coefficient *  (Asset1_Price - Asset2_Price))
Carry Trade,High-Yield Spread Momentum,Higher interest rate differentials between two currencies predict continued appreciation of the high-yield currency.,"Signal = (InterestRateHigh - InterestRateLow) / Average(InterestRateHigh, InterestRateLow)"
Carry Trade Alpha Hypotheses,Volatility Reversion Carry,Currencies with high implied volatility relative to their carry will experience lower volatility and higher returns.,Signal = (Carry_CurrencyA / ImpliedVolatility_CurrencyA) - Avg(Carry_CurrencyA / ImpliedVolatility_CurrencyA)_N_days
Carry Trade Alpha Hypotheses,Currency Correlation Divergence,Divergence in correlation between the high-yield and low-yield currencies suggests a potential carry trade reversal.,"Signal = Corr(CurrencyA,CurrencyB)_today - Avg(Corr(CurrencyA,CurrencyB))_N_days"
Carry Trade,Economic Surprise Carry,Positive economic surprises in the high-yielding currency will enhance carry trade returns.,Signal = EconomicSurpriseIndex_HighYieldCurrency
Carry Trade Alpha Hypotheses,Liquidity Premium Carry,Higher liquidity in the high-yield currency enhances carry trade profitability.,Signal = Liquidity_CurrencyA - Liquidity_CurrencyB
Carry Trade Alpha Hypotheses,Short-Term Rate Forecast,Positive forecast revisions for short-term interest rates in the high-yield currency favor the carry trade.,Signal = Change_in_Forecast(ShortTermRate_CurrencyA)
Carry Trade Alpha Hypotheses,Long-Term Debt Carry,A higher ratio of long-term to short-term debt in the high-yield country negatively affects the carry trade.,Signal = 1/(LongTermDebt_CurrencyA/ShortTermDebt_CurrencyA)
Carry Trade Alpha Hypotheses,Sentiment Shift Carry,A significant shift in market sentiment towards the high-yield currency supports the carry trade.,Signal = SentimentScore_CurrencyA - Avg(SentimentScore_CurrencyA)_N_days
Carry Trade Alpha Hypotheses,Funding Cost Pressure,Increased funding costs in the low-yield currency reduce carry trade profitability.,Signal = -1 * Change_in_FundingCost_CurrencyB
Bull Market Regime,High-PE Momentum,Stocks with high P/E ratios that have recently outperformed the market will continue to outperform.,"Signal = (P/E_t) * (Return_t-n / Market_Return_t-n), where n is a lookback period (e.g., 3 months)."
Undervalued Assets Outperformance,Growth at a Reasonable Price (GARP),Companies exhibiting strong earnings growth but trading at reasonable valuations relative to peers will outperform.,Signal = (Earnings_Growth_Rate / P/E_Ratio) - avg((Earnings_Growth_Rate / P/E_Ratio)_peers)
Low Volatility Alpha,Low Volatility Contrarian,Low volatility stocks that have underperformed their peers in the last month will outperform in the following month.,Signal = -1 * (recent_underperformance / 30-day_volatility)
Bull Market Regime,Bull Market Sector Rotation,Cyclicals and technology sectors will outperform defensives in a strong bull market.,Signal = Weight_Cyclicals + Weight_Technology - Weight_Defensives
Bull Market Regime,Small-Cap Premium,Small-cap stocks will exhibit a higher return than large-cap stocks in bull markets.,Signal = Small_Cap_Index_Return - Large_Cap_Index_Return
Bull Market Regime,Improving Profitability,Stocks with improving profit margins will outperform.,Signal = (ProfitMargin_t - ProfitMargin_{t-4}) / ProfitMargin_{t-4}
Bull Market Regime,Low Debt to Equity,Stocks with low debt-to-equity ratios will outperform.,Signal = 1 / Debt_to_Equity_Ratio_t
Post-Earnings Announcement Drift (PEAD),Negative Surprise Momentum,Stocks that miss earnings expectations significantly will continue to decline for at least one week after the announcement.,Signal = (EPS_Surprise < -0.10) * (Close_Price_t7 - Close_Price_t0) where Close_Price_t7 is closing price 7 days after the announcement.
Post-Earnings Announcement Drift (PEAD),Analyst Revision Correlation,Positive correlation between post-announcement analyst revisions and initial price reaction predicts further price movement in the same direction.,"Signal = (Correlation(Analyst_Revisions_t1-t7, Price_Change_t0-t1) > 0.5) * Price_Change_t0-t1 where Analyst_Revisions_t1-t7 is analyst revisions from day 1 to 7 and Price_Change_t0-t1 is price change from day 0 to 1."
News/Earnings Impact,Short Covering,"High short interest before earnings, followed by a positive surprise, will lead to short covering and price increases.",Signal = Short Interest Ratio * (Actual EPS - Expected EPS) / Expected EPS; Buy if Signal > 0.2
Post-Earnings Announcement Drift (PEAD),Long-Term Underreaction,"The market underreacts to positive earnings surprises in the long term (e.g., 3 months), resulting in continued outperformance.",Signal = (EPS_Surprise > 0) * (Close_Price_t90 - Close_Price_t0) where Close_Price_t90 is the closing price 90 days after the announcement.
Post-Earnings Announcement Drift (PEAD),Sectoral PEAD,"The magnitude of PEAD varies across sectors, with some sectors showing stronger post-earnings drift than others.",Signal = Sector_Specific_PEAD_Factor * EPS_Surprise where Sector_Specific_PEAD_Factor is a sector-specific weight based on historical PEAD performance.
Low Liquidity Alpha,Negative Sentiment Bounce,Illiquid assets with extremely negative sentiment scores exhibit a higher probability of short-term price increases.,"signal = IF(SentimentScore_t < -2, 1, 0)"
Low Liquidity Alpha,Gap-and-Go Fade,Significant price gaps upwards in illiquid assets during low volume periods are likely to be followed by a price decrease.,Signal = -1 * (Price_t - Price_(t-1)) if (abs(Price_t - Price_(t-1)) > GapThreshold) & (Volume_t < VolumeThreshold)
Low Liquidity Alpha,High P/E Ratio Reversal,Illiquid assets with exceptionally high P/E ratios compared to their sector tend to experience price corrections.,Signal = -1 * (P/E_t / avg(Sector_P/E)) if (P/E_t > PEThreshold) & (Volume_t < LiquidityThreshold)
Momentum,Short-Term Correlation Break,Assets whose correlation with a momentum index has recently broken above a threshold will outperform.,"IF(Correlation(AssetPrice, MomentumIndex, 10) > 0.7, 1, 0)"
Low Liquidity Alpha,News-Driven Overreaction,Significant positive news in low liquidity assets can lead to overreaction and subsequent price decline.,Signal = -1 * NewsSentiment_t if (NewsSentiment_t > NewsThreshold) & (Volume_t < LiquidityThreshold)
Low Liquidity Alpha,Bid-Ask Spread Expansion,"A widening bid-ask spread indicates decreased liquidity and increased price volatility, predicting larger future price swings.",signal = (ask[t] - bid[t]) / (price[t])
Low Liquidity Alpha,Low Volume Breakout Fade,Price breakouts above resistance levels on low volume in illiquid assets are often unsustainable.,Signal = -1 * (Price_t - ResistanceLevel) if (Price_t > ResistanceLevel) & (Volume_t < VolumeThreshold)
Low Liquidity Alpha,Relative Strength Divergence,A divergence between the price action and relative strength in illiquid assets can predict a price reversal.,Signal = -1 * (RSI[t] - RSI[t-5]) * (ClosePrice[t] - ClosePrice[t-5]) if Volume[t] < AvgVolume[Past_30_Days] * 0.1 else 0
Earnings Surprise,EPS Beat Strength,Stocks with larger-than-expected EPS beats outperform in the following week.,Signal = (Actual EPS - Expected EPS) / Expected EPS
Earnings Surprise,Revenue Beat Momentum,Stocks exceeding revenue expectations by a significant margin show stronger post-earnings price momentum.,Signal = (Actual Revenue - Expected Revenue) / Expected Revenue
Post-Announcement Drift,Positive Surprise Drift,Stocks reporting positive earnings surprises exhibit a gradual upward price drift over the next month.,Signal = Average daily return over 20 trading days following announcement for positive surprise stocks
Volume,High Volume Surprise,Stocks experiencing unusually high trading volume on the earnings announcement day exhibit higher returns.,Signal = (Volume_t / Avg_Volume_Past_10_Days) * (EPS_Actual - EPS_Estimate) / EPS_Estimate
Volume and Volatility,Volatility Spike Reversion,A large increase in volatility around the earnings announcement is followed by a mean reversion in volatility.,Signal = -1 * (Volatility[t] - Average(Volatility[t-60:t-1])) where t is announcement day
Sentiment Analysis,Positive Guidance Effect,Positive sentiment expressed in the earnings call predicts higher stock prices in the following week.,"Signal = Sentiment Score (e.g., from text analysis of earnings call transcript)"
Correlation,Sector Correlation Shift,A decrease in correlation with the sector after positive earnings surprises signals outperformance in the subsequent month.,Signal = (Pre-announcement Sector Correlation - Post-announcement Sector Correlation)
Volatility Clustering,5-Day Volatility Autocorrelation,High 5-day rolling volatility predicts higher future 5-day rolling volatility.,"signal = corr(rolling_std(price, 5), lag(rolling_std(price, 5), 5))"
Volatility Clustering,GARCH Volatility Persistence,"The GARCH(1,1) model's volatility forecast predicts the persistence of high or low volatility.","signal = garch_forecast(close_price, order=(1,1))"
Volatility Clustering,Sentiment-Driven Volatility,High negative sentiment during high volatility predicts continued high volatility.,"signal = rolling_mean(sentiment, 10) * rolling_std(price, 10)"
Volatility Clustering,Correlation Breakdown Volatility,A decrease in correlation between asset prices during a period of high volatility suggests an increase in future volatility.,"signal = (1-rolling_correlation(asset1_returns, asset2_returns, 20)) * rolling_volatility(asset1_returns, 20)"
Volatility Clustering,VIX-Based Volatility Prediction,High VIX values predict higher future market volatility.,signal = VIX
Volatility Clustering,Option Implied Volatility Clustering,High implied volatility of options predicts continued high implied volatility.,"signal = rolling_average(implied_volatility, 20)"
Volatility Clustering,Jump Diffusion Volatility,Frequent large price jumps predict higher future volatility.,"signal = count(abs(returns) > threshold, window=20)"
Volatility and P/E Ratio,P/E Ratio Volatility,High volatility in P/E ratios of an asset predicts price volatility.,Signal = Standard_Deviation(P/E_t) / Average(P/E_t)
Correlation Exploiting,Volume-Weighted Correlation Shift,A sudden increase in trading volume accompanying a decrease in correlation between two assets signals a temporary decoupling that can be exploited.,"signal = (volume_AssetA * volume_AssetB) * (avg(corr(AssetA_price, AssetB_price), 30) - corr(AssetA_price_1day, AssetB_price_1day))"
Correlation Exploiting,Sentiment-Driven Correlation Divergence,"When positive news about one asset leads to a temporary decrease in correlation with another asset, a contrarian trade is profitable.","signal = (sentiment_AssetA - avg(sentiment_AssetA, 30)) * (avg(corr(AssetA_price, AssetB_price), 30) - corr(AssetA_price_1day, AssetB_price_1day))"
Correlation Exploiting,PE Ratio Correlation Rebound,"When the correlation between the P/E ratios of two assets deviates significantly from its long-term average, a reversion to the mean is expected.","signal = (corr(PE_AssetA_1day, PE_AssetB_1day) - avg(corr(PE_AssetA, PE_AssetB), 100)) / std(corr(PE_AssetA, PE_AssetB), 100)"
Correlation Exploiting,News-Induced Correlation Anomaly,"Unexpected news affecting one asset temporarily reduces its correlation with another, creating a short-term trading opportunity.","signal = news_impact_AssetA * (avg(corr(AssetA_price, AssetB_price), 30) - corr(AssetA_price_1day, AssetB_price_1day))"
Correlation Exploiting,5-Day Correlation Reversion,Assets that show a significant negative correlation over 5 days tend to revert back to their long-term average correlation.,"signal = -corr(AssetA_price_5day, AssetB_price_5day) * (1 - avg(corr(AssetA_price, AssetB_price), 30))"
Correlation Exploiting,Sector-Specific Correlation Break,"Within a specific sector, pairs with high correlation will temporarily show negative correlation during sector-specific negative news.","Signal = -1 * sector_correlation(price_A, price_B, window=30) * sector_news_sentiment"
Correlation Exploiting,Macroeconomic Event-Driven Correlation Shift,"Following significant macroeconomic news, temporary deviations from normal asset correlations provide short-term trading signals.","signal = macroeconomic_event_impact * (avg(corr(AssetA_price, AssetB_price), 30) - corr(AssetA_price_1day, AssetB_price_1day))"
Correlation Exploiting,Implied Volatility Correlation Divergence,A large difference between the correlation of implied volatilities and the correlation of asset prices signals a short-term mean reversion in price correlation.,"Signal = abs(correlation(AssetA_ImpliedVolatility, AssetB_ImpliedVolatility) - correlation(AssetA_Price, AssetB_Price))"
Correlation Exploiting,Liquidity-Driven Correlation Anomaly,Increased liquidity in one asset of a highly correlated pair causes a temporary deviation in correlation.,Signal = Correlation(Price_t-5:t) / Liquidity_AssetA_t
Interest Rates,Interest Rate Sensitivity,Stocks with high interest rate sensitivity underperform when rates rise.,Signal = - Duration * Interest_Rate_Change
Broad Macroeconomic Trends,Unemployment Rate Shock,Sudden changes in the unemployment rate negatively correlate with market volatility.,Signal = -abs(UnemploymentRate_Current - UnemploymentRate_Previous)
Economic Growth,Consumer Confidence Index,High consumer confidence predicts increased consumer spending and economic growth.,Signal = ConsumerConfidenceIndex
Broad Macroeconomic Trends,Housing Market Sentiment,Positive housing market sentiment predicts increased construction sector performance.,Signal = HousingMarketSentimentIndex * (ConstructionSectorIndex / MarketIndex)
Broad Macroeconomic Trends,Money Supply Growth,Rapid money supply growth predicts higher inflation and potentially higher equity prices in the short term.,Signal = (MoneySupplyGrowth - AverageMoneySupplyGrowth) / AverageMoneySupplyGrowth
Broad Macroeconomic Trends,Purchasing Managers' Index (PMI),A PMI above 50 indicates expansion and predicts positive returns for cyclical stocks.,"Signal = if(PMI > 50, 1, -1) * (CyclicalStockIndex / MarketIndex)"
Liquidity and Sentiment,Volume-Sentiment Correlation,A positive correlation between trading volume and positive sentiment signals sustained upward price movement.,"Signal = Correlation(Volume(t-n:t), Sentiment(t-n:t)); if Signal > Threshold then Buy"
Volume Anomaly,Sudden Volume Surge Reversal,A dramatic volume spike followed by an immediate significant price drop indicates potential short-selling pressure.,signal = -1 IF (Volume[t] > 3 * Avg(Volume[t-20:t-1])) AND (Price[t+1] < Price[t] * 0.95); ELSE signal = 0; //Sell signal if volume spike followed by sharp price drop
Volume Anomaly,Volume-Price Momentum Divergence,Price increases without accompanying volume increases signal weakness and potential reversal.,signal = -1 IF (Price[t] > Price[t-1] AND Volume[t] < Volume[t-1] AND Volume[t] < Avg(Volume[t-20:t-1])); ELSE signal = 0; //Sell signal if price rises without matching volume increase
Volume Anomaly,High Volume on Low P/E Stocks,High volume on stocks with low Price-to-Earnings ratios suggests potential undervaluation and price appreciation.,signal = 1 IF (Volume[t] > 2 * Avg(Volume[t-20:t-1])) AND (P/E[t] < 15); ELSE signal = 0; //Buy signal if high volume and low P/E
Volume Anomaly,News-Driven Volume Spike,A significant volume increase immediately following positive news suggests a price increase.,signal = 1 IF (NewsSentiment[t] > 0.5) AND (Volume[t] > 3 * Avg(Volume[t-20:t-1])); ELSE signal = 0;  //Buy signal if positive news and large volume increase
Unusual Trading Volume,Distribution Day,High volume with a small price increase or decrease indicates potential distribution by large players.,Signal = -1 if Volume_t > 2 * Average(Volume_{t-20:t-1}) and abs(Price_t - Price_{t-1}) < 0.01 * Price_{t-1}
Short-Term Reversal,10-Day Momentum Reversal,Stocks with the strongest negative 10-day momentum are expected to have higher returns than stocks with the strongest positive 10-day momentum in the next 2 days.,Signal = Rank( -10DayReturn )
Short-Term Reversal,Volume-Weighted Reversal,Stocks with the highest 5-day volume-weighted average price decline will outperform those with the highest 5-day volume-weighted average price increase over the next 2 days.,"Signal = Rank(-SUM(Price * Volume, last 5 days) / SUM(Volume, last 5 days))"
Short-Term Reversal,Relative Strength Reversal,Stocks with the lowest relative strength over the past 5 days against their industry will outperform those with the highest relative strength over the next 1 day.,Signal = Rank(-5Day_Relative_Strength)
Short-Term Reversal,Short-Term Oversold Reversal,Stocks that are oversold based on a 14-day RSI indicator are likely to experience a price rebound in the following 1 day.,"Signal = IF(14-day RSI < 30, 1, 0)"
Short-Term Reversal,Sentiment Shift Reversal,"Stocks with the most negative sentiment shifts (e.g., decrease in news mentions) over the past 24 hours are expected to outperform stocks with positive sentiment shifts in the next 24 hours.",Signal = Rank( -SentimentChange_24h )
Short-Term Reversal,Correlation Reversal,Stocks with the lowest recent correlation to the market index will outperform stocks with the highest correlation over the next 1 day.,Signal = Rank(-Correlation_to_Market_Index)
Short-Term Reversal,P/E Ratio Reversal,Stocks with the highest P/E ratio over the past 3 months and that have seen a recent decline will outperform stocks with low P/E ratios and recent gains over the next 2 days.,Signal = Rank(3Month_PE_Ratio * -10Day_Price_Change)
Short-Term Reversal,Volatility Reversal,High volatility stocks that experience a sharp decline tend to show a short-term price reversal.,Signal = -1 * Rank(10-day volatility * 5-day price change)
Volatility,High Volatility Reversal,High volatility periods are often followed by periods of lower volatility and price reversion.,"signal = (stddev(price, 10) / SMA(price, 10))"
Smaller Cap Outperformance,Low Beta Contrarian,Small-cap stocks with low beta relative to the market tend to outperform during market downturns.,Signal = -1 * Beta_t * MarketReturn_{t-1}
Smaller Cap Outperformance,Short-Term Earnings Surprise,Stocks that beat short-term earnings expectations show higher returns.,Signal = (ActualEarnings_t - ExpectedEarnings_t) / ExpectedEarnings_t
Smaller Cap Outperformance,Industry Correlation Divergence,Small-cap stocks with low correlation to their industry peers show higher risk-adjusted returns.,"Signal = 1 - Correlation(StockReturn_t, IndustryReturn_t)"
Smaller Cap Outperformance,Insider Buying Pressure,Significant insider buying in small-cap stocks is a bullish indicator.,Signal =  Sum(InsiderPurchases_t) - Sum(InsiderSales_t)
Pre-Earnings Announcement,Analyst Surprise Expectation,Stocks with a larger-than-expected positive EPS surprise outperform compared to those with smaller or negative surprises.,Signal = (Actual EPS - Expected EPS) / Expected EPS
Sentiment,Pre-Earnings Sentiment Shift,A significant positive shift in news sentiment before earnings predicts outperformance.,Signal = (Average Sentiment Score (past 3 days) - Average Sentiment Score (past 10 days))
Post-Earnings Announcement,Post-Earnings Price Gap,Stocks that open with a significant gap up after a positive earnings surprise outperform those with smaller gaps.,Signal = (OpenPrice - ClosePrice(previous day))/ClosePrice(previous day)
Post-Earnings Announcement,Volume Spike and Price Change,A significant increase in trading volume coupled with a positive price change after earnings signals continued upward momentum.,Signal = (Volume(t) / AverageVolume(lookback=30)) * PriceChange(t)
Post-Earnings Announcement,Earnings Guidance Surprise,Positive guidance surprises (upward revisions of future earnings expectations) generate above-average returns.,Signal = (Revised Guidance - Previous Guidance)/Previous Guidance
Long-Term,Post-Earnings P/E Ratio Change,A decrease in the P/E ratio after a positive earnings surprise suggests undervaluation and potential outperformance.,Signal = -((P/E(t) - P/E(t-1)) / P/E(t-1))
Mean Reversion,Volume-Weighted Mean Reversion,"The weighted average price, weighted by volume, is expected to revert to its 10-day moving average.",VWAP = SUM(Price * Volume) / SUM(Volume); signal = (10DMA(VWAP) - VWAP) / VWAP
Momentum,5-Day Momentum,Stocks with positive 5-day price momentum tend to continue their upward trend.,signal = (price / price[-5]) -1
Momentum,20-Day Momentum,Stocks with positive 20-day price momentum tend to continue their upward trend.,signal = (price / price[-20]) - 1
Technical Indicators,Bollinger Band Squeeze,A Bollinger Band squeeze followed by a breakout predicts a strong price move in the breakout direction.,IF (Bollinger Bands squeeze detected) AND (Breakout occurs) THEN Buy/Sell Signal based on breakout direction
Volatility,Average True Range Breakout,Price exceeding the Average True Range (ATR) suggests a significant price movement.,signal = price / ATR(14)
Momentum Strategies,20-Day Price Momentum with Volume,Stronger 20-day price momentum is more significant when accompanied by high volume.,signal = ((Price - Price[20]) / Price[20]) * Volume
Sentiment Analysis,Positive News Sentiment,Positive sentiment scores from news articles surrounding earnings announcements predict higher returns.,Signal = Average(Sentiment Score[t-1:t+1])
Fundamental Strategies,High ROE Growth,Companies with high Return on Equity growth have higher potential for price appreciation.,signal = (ROE - ROE[-100]) / ROE[-100]
Mean Reversion,Sentiment-Driven Reversion,Stock price is expected to revert to its average price when sentiment score is significantly above its average.,signal = (AvgPrice - ClosePrice) * (SentimentScore - AvgSentimentScore)
